# Created by Octave 4.0.0, Tue May 01 19:52:28 2018 CEST <olethros@olethros-OptiPlex-9010>
# name: results
# type: struct
# ndims: 2
 1 5
# length: 3
# name: PU
# type: cell
# rows: 1
# columns: 5
# name: <cell-element>
# type: matrix
# rows: 601
# columns: 2
 -0.2448079495144495 -0.246084711010906
 -0.2473736993192253 -0.246139323318519
 -0.2448481773960824 -0.2457601969639463
 -0.2450644553217237 -0.2450597969885344
 -0.2467703255210575 -0.2450067269231387
 -0.2451275985061732 -0.2473348184709213
 -0.2465526880958468 -0.2456611993927295
 -0.2435360604874939 -0.2457430076271941
 -0.2467618448765052 -0.243841729943047
 -0.2464415153965313 -0.2454080324265776
 -0.2453873212267166 -0.246047920101687
 -0.2454930627404995 -0.2443627428712198
 -0.2461479969021396 -0.2459162447699864
 -0.2445491847717337 -0.2454738911897385
 -0.2445882961613078 -0.2450649490295649
 -0.2438610305616553 -0.2445090697051863
 -0.2447976524512407 -0.2469096921063324
 -0.2479441250645202 -0.2445467133365492
 -0.2457078868522138 -0.2458813972417725
 -0.2447590914332311 -0.2473377159534345
 -0.246454886025946 -0.2447943929938326
 -0.245139939944601 -0.2458641618615033
 -0.2459359532600015 -0.2440909965806418
 -0.2465650153206402 -0.2440694537392019
 -0.2450394804904416 -0.2450300377038899
 -0.2452075754334258 -0.2469968722406638
 -0.245089966143621 -0.2447987789194327
 -0.2473431633022465 -0.2448720563230775
 -0.2464201180914587 -0.2451113303032779
 -0.2436236485749644 -0.2445617393177554
 -0.2477340936693808 -0.244354311957552
 -0.2442293276237649 -0.2444189062304494
 -0.246187768603907 -0.243781835199142
 -0.2436677604193684 -0.2462347423172456
 -0.2492568841355437 -0.2444452954702843
 -0.2461121485271387 -0.2475107892082406
 -0.2440354194481987 -0.2467226720343028
 -0.2479396841126593 -0.2454911582181181
 -0.2443553230736764 -0.244507284887359
 -0.2474191126303608 -0.2449108424687629
 -0.2439485938034804 -0.247310074484164
 -0.2443781381614716 -0.247167504435343
 -0.2460869463657178 -0.2443413151738078
 -0.2462052966186094 -0.2472228679770855
 -0.2455818533064673 -0.2473386623483237
 -0.2470703352821264 -0.2453287189597258
 -0.2431675391863311 -0.2436489422637199
 -0.245339245524772 -0.2451174720916917
 -0.2462030475468263 -0.2470305195429449
 -0.2449382755873316 -0.2464816857858058
 -0.2452492453170646 -0.2443821294861404
 -0.2460693508372245 -0.244327693327076
 -0.2434327123163231 -0.245379566087088
 -0.2467395428296161 -0.2453711946286259
 -0.2438980069812277 -0.2445460168072226
 -0.247325530298357 -0.2457361504764118
 -0.2474773248706011 -0.2467146335442993



